player,team,position,league,gls_p90_pct,ast_p90_pct,weight_source,league_strength
Mustafa Eskihellaç,Türkiye,DEF,TUR-Super Lig,0.23333333333333334,1.0,fbref,0.8563656147986942
Pedro Vite,Ecuador,MID,USA-MLS,0.6885245901639344,0.3770491803278688,fbref,0.8531011969532101
Eric Smith,Sweden,MID,GER-Bundesliga,0.8333333333333334,0.4166666666666667,fbref,0.9412404787812839
Gustavo Gómez,Paraguay,DEF,BRA-Serie A,0.7818181818181819,0.6272727272727273,fbref,0.9042437431991294
Bazoumana Touré,Côte d'Ivoire,FWD,GER-Bundesliga,0.41935483870967744,1.0,fbref,0.9412404787812839
Baris Alper Yilmaz,Türkiye,FWD,TUR-Super Lig,0.7205882352941176,1.0,fbref,0.8563656147986942
Jarell Quansah,England,DEF,GER-Bundesliga,0.8955223880597015,0.26119402985074625,fbref,0.9412404787812839
Riyad Mahrez,Algeria,MID,SAU-Saudi Pro League,0.5,0.9411764705882353,fbref,0.8193688792165397
Petar Musa,Croatia,FWD,USA-MLS,0.8666666666666667,0.8555555555555555,fbref,0.8531011969532101
Sebastian Berhalter,USA,MID,USA-MLS,0.7956521739130434,0.9739130434782609,fbref,0.8531011969532101
Tyrese Noslin,Curaçao,DEF,NED-Eredivisie,0.3125,0.5486111111111112,fbref,0.8531011969532101
Fredrik Aursnes,Norway,MID,POR-Primeira Liga,0.6233766233766234,0.6753246753246753,fbref,0.8857453754080522
Jhon Lucumí,Colombia,DEF,ITA-Serie A,0.5738636363636364,0.3068181818181818,fbref,0.9357997823721436
Luis Suárez,Colombia,FWD,USA-MLS,0.4444444444444444,0.9444444444444444,fbref,0.8531011969532101
Alan Franco,Ecuador,MID,BRA-Serie A,0.3142857142857143,0.1523809523809524,fbref,0.9042437431991294
Leroy Sané,Germany,MID,TUR-Super Lig,0.9044943820224719,0.7359550561797753,fbref,0.8563656147986942
Joshua Kimmich,Germany,DEF,GER-Bundesliga,0.3888888888888889,0.9,fbref,0.9412404787812839
Richard Ríos,Colombia,MID,POR-Primeira Liga,0.8571428571428571,0.8116883116883117,fbref,0.8857453754080522
