player,team,position,matched_club,matched_intl,club_suggestion,club_score,intl_suggestion,intl_score
Juan Portilla,Colombia,MID,False,False,Juan Camilo Portilla,85.5,Juan Camilo Portilla,85.5
Alexandr Sojka,Czechia,MID,True,False,Alexandr Sojka,100.0,Alex Král,64.3
Hugo Sochurek,Czechia,MID,True,False,Hugo Sochůrek,100.0,,
Christophe Kabongo,Czechia,FWD,True,False,Christophe Kabongo,100.0,,
Robin Risser,France,GK,True,False,Robin Risser,100.0,,
Paul Reverson,Ghana,GK,False,False,,,,
Solomon Agbasi,Ghana,GK,False,False,,,,
Augustine Boakye,Ghana,MID,False,False,,,,
Yuto Nagatomo,Japan,DEF,True,False,Yuto Nagatomo,100.0,Yuta Nakayama,61.5
Antonio Rodríguez,Mexico,GK,False,False,José Antonio Rodríguez,95.0,Charly Rodríguez,68.4
Carlos Moreno,Mexico,GK,True,False,Carlos Moreno,100.0,,
Álex Padilla,Mexico,GK,True,False,Yael Padilla,83.3,,
Alejandro Gómez,Mexico,DEF,True,False,Alejandro Gómez,100.0,,
Ramón Juárez,Mexico,DEF,True,False,Ramón Juárez,100.0,Guillermo Martínez Ayala,60.0
Bryan González,Mexico,DEF,True,False,Bryan González,100.0,Julio José González,69.1
Víctor Guzmán,Mexico,DEF,True,False,Víctor Guzmán,100.0,,
Jordán Carrillo,Mexico,MID,True,False,Jordan Carrillo,100.0,Jordi Cortizo,64.3
Diego Lainez,Mexico,MID,True,False,Diego Lainez,100.0,,
Jesús Angulo,Mexico,MID,True,False,Jesús Angulo,100.0,Jesús Gallardo,69.2
Luis Chávez,Mexico,MID,False,True,Luis Ángel Malagón,85.5,Luis Chávez,100.0
Elías Montiel,Mexico,MID,True,False,Elias Montiel,100.0,César Montes,64.0
Kevin Castañeda,Mexico,MID,True,False,Kevin Castañeda,100.0,,
Alexis Gutiérrez,Mexico,MID,True,False,Alexis Gutiérrez,100.0,Alexis Vega,67.1
Jeremy Márquez,Mexico,MID,True,False,Jeremy Márquez,100.0,,
Alexéi Domínguez,Mexico,FWD,True,False,Alexei Dominguez,100.0,,
Efraín Álvarez,Mexico,MID,True,False,Efrain Alvarez,100.0,Edson Álvarez,74.1
Jorge Ruvalcaba,Mexico,FWD,True,False,Jorge Ruvalcaba,100.0,,
Nando Pijnaker,New Zealand,DEF,False,True,,,Nando Pijnaker,100.0
Tommy Smith,New Zealand,DEF,False,False,,,,
Matthew Garbett,New Zealand,FWD,False,False,,,Matt Garbett,88.9
Sarpreet Singh,New Zealand,MID,False,True,,,Sarpreet Singh,100.0
Juan Espínola,Paraguay,GK,True,False,Juan Espínola,100.0,Carlos González Espínola,85.5
Santiago Rojas,Paraguay,GK,False,False,Matías Rojas,76.9,Matías Rojas,76.9
Alcides Benítez,Paraguay,DEF,False,False,Alan Benítez,74.1,,
Alan Núñez,Paraguay,DEF,True,False,Alan Núñez,100.0,,
Saúl Salcedo,Paraguay,DEF,True,False,Saúl Salcedo,100.0,,
Diego León,Paraguay,DEF,False,False,Diego Gómez,66.7,Diego Gómez,66.7
Tarek Salman,Qatar,DEF,False,True,,,Tarek Salman,100.0
Rayyan Al Ali,Qatar,DEF,False,False,,,Al-Mahdi Ali Mukhtar,85.5
Homam El Amin,Qatar,DEF,False,False,,,Homam Ahmed,71.2
Sultan Al Brake,Qatar,DEF,False,False,,,Sultan Al-Brake,93.3
Abdulaziz Hatem,Qatar,MID,False,True,,,Abdulaziz Hatem,100.0
Jassem Gaber,Qatar,MID,False,True,,,Jassem Gaber,100.0
Ahmed Alaa,Qatar,FWD,False,False,,,Ahmed Alaaeldin,90.0
Mohammed Muntari,Qatar,FWD,False,True,,,Mohammed Muntari,100.0
Sebastián Soria,Qatar,FWD,False,True,,,Sebastián Soria,100.0
Tahsin Jamshid,Qatar,FWD,False,False,,,Tahsin Mohammed,69.0
Ken Sema,Sweden,MID,False,True,Kenan Bilalovic,60.0,Ken Sema,100.0
Alexander Bernhardsson,Sweden,FWD,False,True,Alexander Isak,85.5,Alexander Bernhardsson,100.0
Mike Penders,Belgium,GK,True,False,Mike Penders,100.0,,
Matias Fernandez-Pardo,Belgium,FWD,True,False,Matias Fernandez-Pardo,100.0,,
Stopira,Cabo Verde,DEF,False,True,,,Stopira,100.0
Gilson Benchimol,Cabo Verde,MID,False,False,,,,
Ange-Yoan Bonny,Côte d'Ivoire,FWD,True,False,Yohan Boli,63.0,,
Dominik Kotarski,Croatia,GK,False,True,Dominik Prpić,69.0,Dominik Kotarski,100.0
Keeto Thermoncy,Haiti,DEF,False,True,,,Keeto Thermoncy,100.0
Dominique Simon,Haiti,MID,True,False,Dominique Simon,100.0,,
Lenny Joseph,Haiti,FWD,False,False,,,Belmar Joseph,64.0
Nour Bani Ateyah,Jordan,GK,False,False,,,,
Ahmad Al Juaidi,Jordan,GK,False,False,,,Adham Al Quraishi,68.8
Ehsan Haddad,Jordan,DEF,False,False,,,Ihsan Haddad,91.7
Saed Al Rosan,Jordan,DEF,False,True,,,Saed Al Rosan,100.0
Anas Badawi,Jordan,DEF,False,False,,,,
Raja'ei Ayed,Jordan,MID,False,True,,,Rajaei Ayed,100.0
Ali Olwan,Jordan,FWD,False,True,,,Ali Olwan,100.0
Lee Gi-Hyuk,Korea Republic,DEF,False,False,Lee Gihyuk,95.2,Lee Hyunju,66.7
Elias Achouri,Tunisia,MID,False,True,Elias Saad,63.3,Elias Achouri,100.0
Gédéon Kalulu,Congo DR,DEF,False,True,,,Gedeon Kalulu,100.0
Deveron Fonville,Curaçao,DEF,True,False,Deveron Fonville,100.0,,
Jürgen Locadia,Curaçao,FWD,False,True,,,Jürgen Locadia,100.0
Roozbeh Cheshmi,IR Iran,MID,False,True,,,Roozbeh Cheshmi,100.0
Kasra Taheri,IR Iran,FWD,False,False,,,,
Jalal Hassan,Iraq,GK,False,True,Ali Al Hamadi,64.0,Jalal Hassan,100.0
Mustafa Saadoon,Iraq,DEF,False,True,,,Mustafa Saadoon,100.0
Ahmed Yahya,Iraq,DEF,False,True,,,Ahmed Yahya,100.0
Dario Naamo,Iraq,DEF,True,False,,,,
Jussef Nasrawe,Iraq,MID,True,False,,,,
Ahmed Qasem,Iraq,MID,True,False,,,Ahmed Yasin Ghani,85.5
Fahad Younis,Qatar,GK,False,False,,,,
